userId,movieId,title,genre,rating
1,1,Inception,Sci-Fi,5.0
1,2,Interstellar,Sci-Fi,4.5
1,3,The Matrix,Sci-Fi,5.0
1,4,The Dark Knight,Action,4.5
1,5,Pulp Fiction,Crime,3.0
2,1,Inception,Sci-Fi,4.0
2,6,The Godfather,Crime,5.0
2,5,Pulp Fiction,Crime,4.5
2,7,Goodfellas,Crime,5.0
2,4,The Dark Knight,Action,4.0
3,8,Toy Story,Animation,5.0
3,9,Finding Nemo,Animation,4.5
3,10,Up,Animation,5.0
3,11,The Lion King,Animation,5.0
3,12,Titanic,Romance,3.5
4,1,Inception,Sci-Fi,4.5
4,2,Interstellar,Sci-Fi,5.0
4,13,Avatar,Sci-Fi,4.0
4,4,The Dark Knight,Action,5.0
4,14,Gladiator,Action,4.5
5,8,Toy Story,Animation,4.0
5,9,Finding Nemo,Animation,4.5
5,12,Titanic,Romance,4.5
5,15,La La Land,Romance,5.0
5,10,Up,Animation,4.0
6,6,The Godfather,Crime,4.5
6,7,Goodfellas,Crime,4.0
6,5,Pulp Fiction,Crime,5.0
6,14,Gladiator,Action,4.0
6,4,The Dark Knight,Action,4.5
7,2,Interstellar,Sci-Fi,5.0
7,3,The Matrix,Sci-Fi,4.5
7,13,Avatar,Sci-Fi,4.5
7,1,Inception,Sci-Fi,4.5
7,8,Toy Story,Animation,2.5
8,12,Titanic,Romance,5.0
8,15,La La Land,Romance,5.0
8,10,Up,Animation,4.5
8,11,The Lion King,Animation,4.5
8,1,Inception,Sci-Fi,2.0
9,14,Gladiator,Action,5.0
9,4,The Dark Knight,Action,5.0
9,3,The Matrix,Sci-Fi,4.5
9,1,Inception,Sci-Fi,4.0
9,6,The Godfather,Crime,3.5
10,8,Toy Story,Animation,4.5
10,9,Finding Nemo,Animation,5.0
10,10,Up,Animation,5.0
10,15,La La Land,Romance,4.0
10,2,Interstellar,Sci-Fi,3.0
