userId,movieId,rating,timestamp,title,genres
6,10,3.0,845553253,GoldenEye (1995),Action|Adventure|Thriller
6,32,4.0,845553426,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
6,34,4.0,845553354,Babe (1995),Children|Drama
6,47,4.0,845553317,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
6,50,1.0,845553381,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
6,110,5.0,845553283,Braveheart (1995),Action|Drama|War
6,150,4.0,845553110,Apollo 13 (1995),Adventure|Drama|IMAX
6,153,3.0,845553146,Batman Forever (1995),Action|Adventure|Comedy|Crime
6,165,3.0,845553146,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
6,231,3.0,845553174,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
6,293,3.0,845553660,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
6,296,2.0,845553110,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
6,316,5.0,845553174,Stargate (1994),Action|Adventure|Sci-Fi
6,318,5.0,845553200,"Shawshank Redemption, The (1994)",Crime|Drama
6,344,3.0,845553146,Ace Ventura: Pet Detective (1994),Comedy
6,356,5.0,845553200,Forrest Gump (1994),Comedy|Drama|Romance|War
6,364,5.0,845553317,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
6,367,4.0,845553317,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
6,377,5.0,845553317,Speed (1994),Action|Romance|Thriller
6,380,4.0,845553110,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
6,457,5.0,845553174,"Fugitive, The (1993)",Thriller
6,480,5.0,845553200,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
6,500,5.0,845553354,Mrs. Doubtfire (1993),Comedy|Drama
6,527,3.0,845553426,Schindler's List (1993),Drama|War
6,588,5.0,845553146,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
6,589,3.0,845553317,Terminator 2: Judgment Day (1991),Action|Sci-Fi
6,590,5.0,845553109,Dances with Wolves (1990),Adventure|Drama|Western
6,592,3.0,845553109,Batman (1989),Action|Crime|Thriller
6,593,4.0,845553174,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
6,595,5.0,845553174,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
6,597,4.0,845553354,Pretty Woman (1990),Comedy|Romance
6,608,3.0,845553844,Fargo (1996),Comedy|Crime|Drama|Thriller
6,780,5.0,845556915,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
18,1,3.5,1455209816,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
18,32,4.0,1455209840,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
18,34,2.5,1455617533,Babe (1995),Children|Drama
18,47,4.5,1455050013,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
18,50,5.0,1455049343,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
18,110,4.5,1455050170,Braveheart (1995),Action|Drama|War
18,165,4.0,1455209902,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
18,231,2.5,1455748462,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
18,260,4.0,1455049368,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
18,293,4.5,1455050049,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
18,296,4.0,1455050745,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
18,318,5.0,1455049328,"Shawshank Redemption, The (1994)",Crime|Drama
18,344,2.5,1455209869,Ace Ventura: Pet Detective (1994),Comedy
18,356,4.5,1455050112,Forrest Gump (1994),Comedy|Drama|Romance|War
18,364,3.0,1455209887,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
18,367,2.5,1455618093,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
18,377,2.5,1455209879,Speed (1994),Action|Romance|Thriller
18,380,2.5,1455209846,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
18,457,3.5,1477432493,"Fugitive, The (1993)",Thriller
18,480,3.5,1455209811,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
18,500,3.5,1455618095,Mrs. Doubtfire (1993),Comedy|Drama
18,527,4.5,1455050006,Schindler's List (1993),Drama|War
18,541,4.0,1456745325,Blade Runner (1982),Action|Sci-Fi|Thriller
