Experience_Years,Salary,Department_HR,Department_IT,Department_Sales,Education_Level_Masters,Education_Level_PhD,Remote_Work_Yes,Target_Performance
-0.25989646812236644,0.20695201219780598,0.0,1.0,0.0,1.0,0.0,1.0,1
-1.0883164602624094,-0.9340807037036097,1.0,0.0,0.0,0.0,0.0,0.0,2
-0.25989646812236644,-0.3318689925334181,0.0,0.0,1.0,0.0,0.0,1.0,0
0.5685235240176765,0.7457730169290301,0.0,1.0,0.0,1.0,0.0,1.0,1
1.6730835135377335,-0.4269550521918694,0.0,0.0,0.0,0.0,1.0,0.0,1
-1.3644564576424236,-1.0608621165815448,0.0,1.0,0.0,0.0,0.0,1.0,2
-0.5360364655023807,-0.4269550521918694,0.0,0.0,0.0,0.0,0.0,1.0,2
-0.25989646812236644,1.6966336135135431,0.0,1.0,0.0,0.0,1.0,1.0,1
-0.8121764628823951,-0.8072992908256746,0.0,1.0,0.0,0.0,0.0,0.0,2
0.29238352663766215,-0.4269550521918694,0.0,0.0,1.0,1.0,0.0,1.0,0
-0.25989646812236644,-0.617127171508772,1.0,0.0,0.0,0.0,0.0,0.0,2
0.8446635213976907,1.0627265491238678,0.0,1.0,0.0,0.0,0.0,1.0,0
1.3969435161577193,1.4747661409771566,0.0,0.0,0.0,1.0,0.0,0.0,1
-1.0883164602624094,-0.8389946440451584,0.0,0.0,1.0,0.0,0.0,1.0,2
-0.25989646812236644,-0.7122132311672233,1.0,0.0,0.0,1.0,0.0,0.0,2
2.2253635082977623,2.1720639118058,0.0,1.0,0.0,0.0,1.0,1.0,1
-0.8121764628823951,-0.7756039376061908,0.0,0.0,1.0,0.0,0.0,1.0,2
